DATAMA1242,DATAMA1,DATABASE MANAGEMENT 1,IT242
DATAMA1243,DATAMA1,DATABASE MANAGEMENT 1,IT243
DATAMA1244,DATAMA1,DATABASE MANAGEMENT 1,IT244
DATAMA1246,DATAMA1,DATABASE MANAGEMENT 1,IT246
USERDES241,USERDES,UI/UX DESIGN AND PROGRAMMING,IT241
USERDES243,USERDES,UI/UX DESIGN AND PROGRAMMING,IT243
USERDES246,USERDES,UI/UX DESIGN AND PROGRAMMING,IT246
USERDES247,USERDES,UI/UX DESIGN AND PROGRAMMING,IT247
