20241030143,DASTRUC241,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,15,90,0,0,0,0,0,0,100,0
20241031590,DASTRUC241,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,0,0,0,0,20,95,0,0,0,0,0,0,100,0
20241030089,DASTRUC241,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,0,0,15,100,0,0,0,0,0,0,95,0
20241031382,DASTRUC241,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,15,85,0,0,0,0,0,0,79,0
20241031331,DASTRUC241,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,13,0,0,0,0,15,90,0,0,0,0,0,0,100,0
20241030194,DASTRUC241,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0,0,0,20,100,0,0,0,0,0,0,100,0
20241031626,DASTRUC241,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,0,0,0,0,20,95,0,0,0,0,0,0,100,0
20241031374,DASTRUC241,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,15,95,0,0,0,0,0,0,100,0
20241030065,DASTRUC241,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,0,0,0,0,20,90,0,0,0,0,0,0,100,0
20241031624,DASTRUC241,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0,0,0,15,95,0,0,0,0,0,0,100,0
20241031433,DASTRUC241,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11,0,0,0,0,15,90,0,0,0,0,0,0,100,0
20241030172,DASTRUC241,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,15,90,0,0,0,0,0,0,94,0
